Latitude (decimal degrees):	41.897
Longitude (decimal degrees):	12.485
Elevation (m):	27
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 14 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,3.35,2.34,0.0
20050101:0110,0.0,0.0,0.0,3.33,2.48,0.0
20050101:0210,0.0,0.0,0.0,3.25,2.48,0.0
20050101:0310,0.0,0.0,0.0,2.99,2.55,0.0
20050101:0410,0.0,0.0,0.0,2.87,2.62,0.0
20050101:0510,0.0,0.0,0.0,2.66,2.62,0.0
20050101:0610,0.0,0.0,0.0,2.47,2.62,0.0
20050101:0710,0.0,0.0,0.0,2.78,2.55,0.0
20050101:0810,144.06,178.75,12.52,4.13,2.21,0.0
20050101:0910,492.45,579.3,19.12,6.88,1.93,0.0
20050101:1010,534.78,640.07,23.47,9.0,1.59,0.0
20050101:1110,651.43,801.29,25.09,10.19,1.24,0.0
20050101:1210,683.59,856.18,23.77,10.85,0.83,0.0
20050101:1310,266.25,324.18,19.69,11.03,0.69,0.0
20050101:1410,318.85,386.11,13.3,11.0,0.62,0.0
20050101:1510,430.99,528.63,5.14,10.63,0.69,0.0
20050101:1610,0.0,0.0,0.0,9.26,0.9,0.0
20050101:1710,0.0,0.0,0.0,7.82,1.38,0.0
20050101:1810,0.0,0.0,0.0,6.35,1.86,0.0
20050101:1910,0.0,0.0,0.0,5.97,2.21,0.0
20050101:2010,0.0,0.0,0.0,5.11,2.21,0.0
20050101:2110,0.0,0.0,0.0,4.44,2.07,0.0
20050101:2210,0.0,0.0,0.0,3.73,2.0,0.0
20050101:2310,0.0,0.0,0.0,3.11,1.86,0.0
20050102:0010,0.0,0.0,0.0,2.68,1.79,0.0
20050102:0110,0.0,0.0,0.0,2.25,1.79,0.0
20050102:0210,0.0,0.0,0.0,2.11,1.72,0.0
20050102:0310,0.0,0.0,0.0,1.8,1.79,0.0
20050102:0410,0.0,0.0,0.0,1.55,1.86,0.0
20050102:0510,0.0,0.0,0.0,1.38,1.93,0.0
20050102:0610,0.0,0.0,0.0,1.25,1.93,0.0
20050102:0710,0.0,0.0,0.0,1.34,1.93,0.0
20050102:0810,209.92,252.09,12.53,3.18,1.38,0.0
20050102:0910,405.47,480.87,19.16,7.21,0.9,0.0
20050102:1010,588.93,720.6,23.53,9.44,0.69,0.0
20050102:1110,701.85,895.09,25.17,10.32,0.14,0.0
20050102:1210,722.64,919.71,23.88,10.73,0.48,0.0
20050102:1310,673.76,838.91,19.81,10.88,1.03,0.0
20050102:1410,558.75,681.45,13.43,10.91,1.31,0.0
20050102:1510,368.34,447.93,5.27,10.56,1.03,0.0
20050102:1610,0.0,0.0,0.0,10.02,0.28,0.0
20050102:1710,0.0,0.0,0.0,9.42,0.55,0.0
20050102:1810,0.0,0.0,0.0,8.81,0.9,0.0
20050102:1910,0.0,0.0,0.0,8.96,0.76,0.0
20050102:2010,0.0,0.0,0.0,8.52,0.9,0.0
20050102:2110,0.0,0.0,0.0,6.38,1.31,0.0
20050102:2210,0.0,0.0,0.0,4.85,1.66,0.0
20050102:2310,0.0,0.0,0.0,5.23,2.0,0.0
20050103:0010,0.0,0.0,0.0,5.77,2.28,0.0
20050103:0110,0.0,0.0,0.0,6.15,2.48,0.0
20050103:0210,0.0,0.0,0.0,6.41,2.83,0.0
20050103:0310,0.0,0.0,0.0,6.5,2.83,0.0
20050103:0410,0.0,0.0,0.0,5.96,2.69,0.0
20050103:0510,0.0,0.0,0.0,5.42,2.76,0.0
20050103:0610,0.0,0.0,0.0,5.02,3.1,0.0
20050103:0710,0.0,0.0,0.0,5.35,3.03,0.0
20050103:0810,234.21,280.52,12.56,5.83,3.59,0.0
20050103:0910,459.81,533.36,19.2,7.34,4.0,0.0
20050103:1010,619.73,728.5,23.6,9.12,4.21,0.0
20050103:1110,720.03,861.23,25.27,10.65,4.28,0.0
20050103:1210,746.8,896.71,23.99,11.68,4.83,0.0
20050103:1310,709.83,847.8,19.94,12.16,5.38,0.0
20050103:1410,639.71,760.99,13.56,11.99,5.31,0.0
20050103:1510,392.8,467.22,5.41,11.05,5.1,0.0
20050103:1610,0.0,0.0,0.0,9.4,4.83,0.0
20050103:1710,0.0,0.0,0.0,7.98,4.62,0.0
20050103:1810,0.0,0.0,0.0,6.86,4.21,0.0
20050103:1910,0.0,0.0,0.0,6.4,4.21,0.0
20050103:2010,0.0,0.0,0.0,5.74,3.93,0.0
20050103:2110,0.0,0.0,0.0,5.16,3.72,0.0
20050103:2210,0.0,0.0,0.0,4.66,3.59,0.0
20050103:2310,0.0,0.0,0.0,4.18,3.52,0.0
20050104:0010,0.0,0.0,0.0,3.75,3.45,0.0
20050104:0110,0.0,0.0,0.0,3.36,3.24,0.0
20050104:0210,0.0,0.0,0.0,2.95,3.1,0.0
20050104:0310,0.0,0.0,0.0,2.58,3.1,0.0
20050104:0410,0.0,0.0,0.0,2.32,3.03,0.0
20050104:0510,0.0,0.0,0.0,2.02,2.76,0.0
20050104:0610,0.0,0.0,0.0,1.59,2.41,0.0
20050104:0710,0.0,0.0,0.0,1.35,2.28,0.0
20050104:0810,263.1,311.07,12.59,2.51,1.66,0.0
20050104:0910,460.19,543.6,19.25,5.96,0.97,0.0
20050104:1010,603.6,742.02,23.68,8.21,0.28,0.0
20050104:1110,691.61,856.94,25.37,9.51,1.03,0.0
20050104:1210,724.44,891.67,24.11,10.22,1.93,0.0
20050104:1310,686.86,837.66,20.07,10.53,2.28,0.0
20050104:1410,592.38,716.68,13.7,10.48,2.07,0.0
20050104:1510,413.98,500.36,5.55,10.02,1.59,0.0
20050104:1610,0.0,0.0,0.0,8.76,1.59,0.0
20050104:1710,0.0,0.0,0.0,7.23,1.59,0.0
20050104:1810,0.0,0.0,0.0,7.38,1.38,0.0
20050104:1910,0.0,0.0,0.0,6.55,1.72,0.0
20050104:2010,0.0,0.0,0.0,6.67,1.59,0.0
20050104:2110,0.0,0.0,0.0,5.98,1.59,0.0
